SK_Time,year,quarter,month,day_of_month,day_of_week
20181243,2016,1,1,NULL,Wed
20181244,2016,1,1,NULL,Thu
20181245,2016,1,1,NULL,Fri
20181246,2016,1,1,NULL,Sat
20181247,2016,1,1,NULL,Mon
20181248,2016,1,1,NULL,Wed
20181249,2016,1,1,NULL,Thu
20181250,2016,1,1,NULL,Fri
20181251,2016,1,1,NULL,Sat
20181252,2016,1,1,NULL,Sun
20181253,2016,1,2,NULL,Mon
20181254,2016,1,2,NULL,Wed
20181255,2016,1,2,NULL,Thu
20181256,2016,1,2,NULL,Sat
20181257,2016,1,2,NULL,Mon
20181258,2016,1,2,NULL,Tue
20181259,2016,1,2,NULL,Wed
20181260,2016,1,2,NULL,Thu
20181261,2016,1,2,NULL,Sat
20181262,2016,1,2,NULL,Sun
20181263,2016,1,2,NULL,Tue
20181264,2016,1,2,NULL,Wed
20181265,2016,1,2,NULL,Thu
20181266,2016,1,2,NULL,Fri
20181267,2016,1,2,NULL,Sat
20181268,2016,1,2,NULL,Sun
20181269,2016,1,2,NULL,Tue
20181270,2016,1,2,NULL,Thu
20181271,2016,1,2,NULL,Fri
20181272,2016,1,2,NULL,Sat
20181273,2016,1,2,NULL,Sun
20181274,2016,1,2,NULL,Mon
20181275,2016,1,3,NULL,Tue
20181276,2016,1,3,NULL,Wed
20181277,2016,1,3,NULL,Thu
20181278,2016,1,3,NULL,Fri
20181279,2016,1,3,NULL,Sat
20181280,2016,1,3,NULL,Sun
20181281,2016,1,3,NULL,Tue
20181282,2016,1,3,NULL,Wed
20181283,2016,1,3,NULL,Thu
20181284,2016,1,3,NULL,Fri
20181285,2016,1,3,NULL,Sat
20181286,2016,1,3,NULL,Mon
20181287,2016,1,3,NULL,Tue
20181288,2016,1,3,NULL,Wed
20181289,2016,1,3,NULL,Thu
20181290,2016,1,3,NULL,Fri
20181291,2016,1,3,NULL,Sat
20181292,2016,1,3,NULL,Sun
20181293,2016,1,3,NULL,Mon
20181294,2016,1,3,NULL,Wed
20181295,2016,1,3,NULL,Fri
20181296,2016,1,3,NULL,Sat
20181297,2016,1,3,NULL,Sun
20181298,2016,1,3,NULL,Mon
20181299,2016,1,3,NULL,Tue
20181300,2016,1,3,NULL,Wed
20181301,2016,1,3,NULL,Thu
20181302,2016,2,4,NULL,Fri
20181303,2016,2,4,NULL,Sat
20181304,2016,2,4,NULL,Sun
20181305,2016,2,4,NULL,Mon
20181306,2016,2,4,NULL,Tue
20181307,2016,2,4,NULL,Wed
20181308,2016,2,4,NULL,Thu
20181309,2016,2,4,NULL,Fri
20181310,2016,2,4,NULL,Sat
20181311,2016,2,4,NULL,Sun
20181312,2016,2,4,NULL,Mon
20181313,2016,2,4,NULL,Tue
20181314,2016,2,4,NULL,Wed
20181315,2016,2,4,NULL,Fri
20181316,2016,2,4,NULL,Sat
20181317,2016,2,4,NULL,Sun
20181318,2016,2,4,NULL,Mon
20181319,2016,2,4,NULL,Tue
20181320,2016,2,4,NULL,Wed
20181321,2016,2,4,NULL,Thu
20181322,2016,2,4,NULL,Fri
20181323,2016,2,4,NULL,Sat
20181324,2016,2,4,NULL,Wed
20181325,2016,2,4,NULL,Thu
20181326,2016,2,4,NULL,Sat
20181327,2016,2,5,NULL,Sun
20181328,2016,2,5,NULL,Mon
20181329,2016,2,5,NULL,Thu
20181330,2016,2,5,NULL,Fri
20181331,2016,2,5,NULL,Sat
20181332,2016,2,5,NULL,Sun
20181333,2016,2,5,NULL,Mon
20181334,2016,2,5,NULL,Tue
20181335,2016,2,5,NULL,Fri
20181336,2016,2,5,NULL,Sun
20181337,2016,2,5,NULL,Tue
20181338,2016,2,5,NULL,Thu
20181339,2016,2,5,NULL,Fri
20181340,2016,2,5,NULL,Sat
20181341,2016,2,5,NULL,Sun
20181342,2016,2,5,NULL,Tue
20181343,2016,2,5,NULL,Wed
20181344,2016,2,5,NULL,Thu
20181345,2016,2,5,NULL,Fri
20181346,2016,2,5,NULL,Sat
20181347,2016,2,5,NULL,Sun
20181348,2016,2,5,NULL,Mon
20181349,2016,2,6,NULL,Wed
20181350,2016,2,6,NULL,Thu
20181351,2016,2,6,NULL,Fri
20181352,2016,2,6,NULL,Sat
20181353,2016,2,6,NULL,Sun
20181354,2016,2,6,NULL,Mon
20181355,2016,2,6,NULL,Tue
20181356,2016,2,6,NULL,Thu
20181357,2016,2,6,NULL,Fri
20181358,2016,2,6,NULL,Sat
20181359,2016,2,6,NULL,Sun
20181360,2016,2,6,NULL,Mon
20181361,2016,2,6,NULL,Wed
20181362,2016,2,6,NULL,Thu
20181363,2016,2,6,NULL,Fri
20181364,2016,2,6,NULL,Sat
20181365,2016,2,6,NULL,Sun
20181366,2016,2,6,NULL,Mon
20181367,2016,2,6,NULL,Tue
20181368,2016,2,6,NULL,Wed
20181369,2016,2,6,NULL,Thu
20181370,2016,2,6,NULL,Sat
20181371,2016,2,6,NULL,Mon
20181372,2016,2,6,NULL,Tue
20181373,2016,2,6,NULL,Wed
20181374,2016,2,6,NULL,Thu
20181375,2016,3,7,NULL,Sat
20181376,2016,3,7,NULL,Sun
20181377,2016,3,7,NULL,Mon
20181378,2016,3,7,NULL,Tue
20181379,2016,3,7,NULL,Thu
20181380,2016,3,7,NULL,Fri
20181381,2016,3,7,NULL,Sun
20181382,2016,3,7,NULL,Tue
20181383,2016,3,7,NULL,Wed
20181384,2016,3,7,NULL,Thu
20181385,2016,3,7,NULL,Fri
20181386,2016,3,7,NULL,Sat
20181387,2016,3,7,NULL,Sun
20181388,2016,3,7,NULL,Mon
20181389,2016,3,7,NULL,Tue
20181390,2016,3,7,NULL,Wed
20181391,2016,3,7,NULL,Thu
20181392,2016,3,7,NULL,Sat
20181393,2016,3,7,NULL,Sun
20181394,2016,3,7,NULL,Mon
20181395,2016,3,7,NULL,Tue
20181396,2016,3,7,NULL,Thu
20181397,2016,3,7,NULL,Fri
20181398,2016,3,7,NULL,Sun
20181399,2016,3,8,NULL,Mon
20181400,2016,3,8,NULL,Tue
20181401,2016,3,8,NULL,Wed
20181402,2016,3,8,NULL,Thu
20181403,2016,3,8,NULL,Fri
20181404,2016,3,8,NULL,Sat
20181405,2016,3,8,NULL,Mon
20181406,2016,3,8,NULL,Tue
20181407,2016,3,8,NULL,Wed
20181408,2016,3,8,NULL,Thu
20181409,2016,3,8,NULL,Fri
20181410,2016,3,8,NULL,Sat
20181411,2016,3,8,NULL,Sun
20181412,2016,3,8,NULL,Mon
20181413,2016,3,8,NULL,Tue
20181414,2016,3,8,NULL,Wed
20181415,2016,3,8,NULL,Thu
20181416,2016,3,8,NULL,Fri
20181417,2016,3,8,NULL,Sat
20181418,2016,3,8,NULL,Sun
20181419,2016,3,8,NULL,Mon
20181420,2016,3,8,NULL,Tue
20181421,2016,3,8,NULL,Thu
20181422,2016,3,8,NULL,Fri
20181423,2016,3,8,NULL,Sat
20181424,2016,3,8,NULL,Sun
20181425,2016,3,8,NULL,Mon
20181426,2016,3,8,NULL,Tue
20181427,2016,3,8,NULL,Wed
