SK_Time,year,quarter,month,day_of_month,day_of_week
20160802,2016,3,8,2,Tue
20160803,2016,3,8,3,Wed
20160804,2016,3,8,4,Thu
20160805,2016,3,8,5,Fri
20160806,2016,3,8,6,Sat
20160807,2016,3,8,7,Sun
20160808,2016,3,8,8,Mon
20160809,2016,3,8,9,Tue
20160810,2016,3,8,10,Wed
20160811,2016,3,8,11,Thu
20160812,2016,3,8,12,Fri
20160813,2016,3,8,13,Sat
20160814,2016,3,8,14,Sun
20160815,2016,3,8,15,Mon
20160816,2016,3,8,16,Tue
20160817,2016,3,8,17,Wed
20160818,2016,3,8,18,Thu
20160819,2016,3,8,19,Fri
20160820,2016,3,8,20,Sat
20160821,2016,3,8,21,Sun
20160822,2016,3,8,22,Mon
20160823,2016,3,8,23,Tue
20160825,2016,3,8,25,Thu
20160826,2016,3,8,26,Fri
20160827,2016,3,8,27,Sat
20160828,2016,3,8,28,Sun
20160829,2016,3,8,29,Mon
20160830,2016,3,8,30,Tue
20160831,2016,3,8,31,Wed
20160901,2016,3,9,1,Thu
20160902,2016,3,9,2,Fri
20160903,2016,3,9,3,Sat
20160904,2016,3,9,4,Sun
20160905,2016,3,9,5,Mon
20160906,2016,3,9,6,Tue
20160907,2016,3,9,7,Wed
20160908,2016,3,9,8,Thu
20160909,2016,3,9,9,Fri
20160910,2016,3,9,10,Sat
20160911,2016,3,9,11,Sun
20160912,2016,3,9,12,Mon
20160913,2016,3,9,13,Tue
20160914,2016,3,9,14,Wed
20160916,2016,3,9,16,Fri
20160917,2016,3,9,17,Sat
20160918,2016,3,9,18,Sun
20160919,2016,3,9,19,Mon
20160920,2016,3,9,20,Tue
20160921,2016,3,9,21,Wed
20160922,2016,3,9,22,Thu
20160923,2016,3,9,23,Fri
20160924,2016,3,9,24,Sat
20160925,2016,3,9,25,Sun
20160926,2016,3,9,26,Mon
20160927,2016,3,9,27,Tue
20160928,2016,3,9,28,Wed
20160929,2016,3,9,29,Thu
20160930,2016,3,9,30,Fri
20161001,2016,4,10,1,Sat
20161002,2016,4,10,2,Sun
20161003,2016,4,10,3,Mon
20161004,2016,4,10,4,Tue
20161005,2016,4,10,5,Wed
20161006,2016,4,10,6,Thu
20161007,2016,4,10,7,Fri
20161008,2016,4,10,8,Sat
20161009,2016,4,10,9,Sun
20161010,2016,4,10,10,Mon
20161011,2016,4,10,11,Tue
20161012,2016,4,10,12,Wed
20161013,2016,4,10,13,Thu
20161014,2016,4,10,14,Fri
20161015,2016,4,10,15,Sat
20161016,2016,4,10,16,Sun
20161017,2016,4,10,17,Mon
20161018,2016,4,10,18,Tue
20161019,2016,4,10,19,Wed
20161021,2016,4,10,21,Fri
20161022,2016,4,10,22,Sat
20161023,2016,4,10,23,Sun
20161024,2016,4,10,24,Mon
20161025,2016,4,10,25,Tue
20161026,2016,4,10,26,Wed
20161027,2016,4,10,27,Thu
20161028,2016,4,10,28,Fri
20161029,2016,4,10,29,Sat
20161031,2016,4,10,31,Mon
20161102,2016,4,11,2,Wed
20161103,2016,4,11,3,Thu
